country;trip.no;haul.no;vessel.length;set.date;haul.date;set.time.start;set.time.end;soak;haul.time.start;haul.time.end;haul.lat.start;haul.lon.start;haul.lat.end;haul.lon.end;perc.haul.obs;view.lines;LL.config;target;bait.type;bait.cond;num.hooks.shot;num.hooks.lost;IMR.qual;LL.length;mitig.set;mitig.haul;depth;sea.state;wind;cloud;LL.material;LL.diam;snood.length;hook.size;hook.type;dist.snood.hook;float.type;float.interv;tot.catch.weight;tot.catch.num;LL.set.type;BSL.length;comments.set;attach.pos.set;LL.haul.type;comments.haul;attach.pos.haul;fulmar;gannet;skua;gbb.gull;kittiwake;g.gull;h.gull;lbb.gull;unid.gull;m.shearwater;e.shag;smthg.else;division;bycatch_tot;bycatch_binary;daysAtSeaOb;effort_metric;length.cat;set_date_parsed;haul_date_parsed;date_parsed;month;year;quarter
FO;FO02;11;25;1.7.2021;;;;;09:00;18:00;62.406667;-5.678117;;;75;Y;added later;added later;Mackerel and squid;frozen;15600;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-07-01T00:00:00Z;;2021-07-01T00:00:00Z;7;2021;Q3
FO;FO02;2;25;22.6.2021;;;;;08:00;20:00;62.393783;-5.641617;;;61;Y;added later;added later;Mackerel and squid;frozen;29900;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;15;0;0;0;0;0;0;0;;;;;27.5.b;15;1;1;FiD;>24m;2021-06-22T00:00:00Z;;2021-06-22T00:00:00Z;6;2021;Q2
FO;FO02;3;25;23.6.2021;;;;;08:00;20:00;62.434233;-11.457;;;36;Y;added later;added later;Mackerel and squid;frozen;32500;;;added later;added later;added later;;OK;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;5;0;0;0;0;0;0;0;;;;;27.5.b;5;1;1;FiD;>24m;2021-06-23T00:00:00Z;;2021-06-23T00:00:00Z;6;2021;Q2
FO;FO02;4;25;24.6.2021;;;;;09:00;21:00;62.42515;-5.456167;;;48;Y;added later;added later;Mackerel and squid;frozen;29900;;;added later;added later;added later;;OK;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;5;0;1;0;0;0;0;0;;;;;27.5.b;6;1;1;FiD;>24m;2021-06-24T00:00:00Z;;2021-06-24T00:00:00Z;6;2021;Q2
FO;FO02;5;25;25.6.2021;;;;;08:00;20:00;62.3858;-5.435783;;;52;Y;added later;added later;Mackerel and squid;frozen;29900;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;4;0;0;0;0;0;0;0;;;;;27.5.b;4;1;1;FiD;>24m;2021-06-25T00:00:00Z;;2021-06-25T00:00:00Z;6;2021;Q2
FO;FO02;6;25;26.6.2021;;;;;08:00;21:00;62.410967;-5.277067;;;65;Y;added later;added later;Mackerel and squid;frozen;26000;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;5;0;0;0;0;0;0;0;;;;;27.5.b;5;1;1;FiD;>24m;2021-06-26T00:00:00Z;;2021-06-26T00:00:00Z;6;2021;Q2
FO;FO02;7;25;27.6.2021;;;;;08:00;20:00;62.463917;-5.102917;;;64;Y;added later;added later;Mackerel and squid;frozen;28600;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;1;0;0;0;0;0;0;0;;;;;27.5.b;1;1;1;FiD;>24m;2021-06-27T00:00:00Z;;2021-06-27T00:00:00Z;6;2021;Q2
FO;FO02;8;25;28.6.2021;;;;;08:00;21:00;62.470817;-5.3219;;;65;Y;added later;added later;Mackerel and squid;frozen;29990;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;5;0;0;0;0;0;0;0;;;;;27.5.b;5;1;1;FiD;>24m;2021-06-28T00:00:00Z;;2021-06-28T00:00:00Z;6;2021;Q2
FO;FO02;9;25;29.6.2021;;;;;09:00;21:00;62.465683;-5.106583;;;61;Y;added later;added later;Mackerel and squid;frozen;29990;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;3;0;0;0;0;0;0;0;;;;;27.5.b;3;1;1;FiD;>24m;2021-06-29T00:00:00Z;;2021-06-29T00:00:00Z;6;2021;Q2
FO;FO03;1;25;15.9.2021;;;;;12:00;20:00;66.737117;-5.75555;;;53;Y;added later;added later;Herring. Mackerel. squid;frozen;19500;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.2.a;0;0;1;FiD;>24m;2021-09-15T00:00:00Z;;2021-09-15T00:00:00Z;9;2021;Q3
